Self-perceived attractiveness,Number of sexual partners,Mate value,"Sex (0 = male, 1 = female)",Machiavellianism,Narcissism,Psychopathy
4,3,21,0,32,32,30
3,4,21,0,30,23,27
2,12,18,0,24,19,28
1,10,16,0,33,21,24
3,1,22,0,22,24,14
3,3,21,0,14,29,25
4,4,20,0,12,27,23
3,10,24,0,35,36,23
4,0,18,0,16,21,19
3,0,17,0,30,16,22
3,1,19,0,31,23,21
4,1,20,0,32,31,24
3,1,20,0,25,19,15
4,4,24,0,19,29,14
5,14,22,0,23,28,22
3,1,18,0,30,26,19
2,3,22,0,15,25,14
3,13,24,0,23,25,24
3,1,13,0,32,28,27
3,3,21,0,25,27,16
2,20,19,0,23,23,27
2,2,14,0,25,26,23
3,10,24,0,31,28,22
5,23,24,0,20,31,27
3,5,18,0,23,25,23
4,5,21,0,32,33,27
4,1,13,0,11,17,16
2,1,13,0,31,17,20
3,2,17,0,26,19,20
4,0,22,0,16,26,14
2,0,9,0,24,17,20
3,0,20,0,24,27,16
4,12,24,0,18,25,24
3,6,20,0,19,21,14
4,17,22,0,17,32,25
3,2,16,0,31,27,21
4,1,26,0,30,20,26
5,2,21,0,31,27,25
4,3,27,0,30,36,25
4,2,25,0,23,33,28
3,3,15,0,23,23,20
4,3,22,0,21,31,30
4,1,25,0,32,29,24
4,10,24,0,41,42,25
4,8,15,0,23,21,12
4,15,17,0,23,23,17
3,15,18,0,28,26,16
3,3,16,0,24,25,17
4,17,23,0,19,19,15
3,15,15,0,23,20,21
3,2,22,0,23,22,14
4,25,23,0,33,30,28
2,3,12,0,30,32,30
5,0,21,0,23,21,27
3,12,24,0,25,27,15
3,20,23,0,26,26,25
3,5,16,0,22,24,21
3,2,16,0,29,20,23
1,0,5,0,14,16,17
4,2,20,0,17,26,24
3,6,20,0,41,23,22
4,11,20,0,19,15,27
3,7,20,0,30,33,27
3,2,17,0,19,22,18
3,0,10,0,30,20,22
4,5,18,0,36,21,31
3,4,22,0,25,26,16
3,1,22,0,14,23,16
3,4,22,0,31,28,19
2,3,11,0,22,17,21
4,2,19,0,29,22,22
4,3,24,0,28,25,19
4,9,18,0,26,23,27
3,18,17,0,31,24,23
3,1,24,0,11,24,12
3,2,21,0,25,22,27
4,6,20,0,35,41,27
3,15,22,0,31,28,18
4,35,28,0,37,32,33
4,3,23,0,30,31,22
4,20,21,0,32,30,29
3,0,19,0,19,19,15
3,1,17,0,20,26,9
3,1,17,0,20,26,19
4,4,21,0,22,24,19
4,3,18,0,28,24,15
4,4,16,0,32,24,32
1,5,6,0,18,20,20
2,3,19,0,24,26,16
3,1,18,0,27,22,15
3,4,12,0,14,25,25
4,15,18,0,23,25,21
3,7,19,0,15,21,13
3,4,23,0,25,26,11
3,2,28,0,25,24,17
4,4,20,0,31,29,19
3,8,21,0,15,28,17
5,3,26,0,29,33,13
2,2,22,0,22,26,19
3,3,22,0,24,32,16
4,6,17,0,10,25,17
2,7,12,0,23,26,15
3,10,20,0,13,21,17
2,15,16,0,34,34,36
3,2,23,0,33,36,24
5,10,20,0,35,38,29
4,15,23,0,37,27,24
4,15,25,1,16,26,17
3,4,21,1,36,26,15
4,6,23,1,24,32,14
4,5,28,1,12,30,16
3,0,14,1,17,16,18
4,1,21,1,20,23,13
3,5,21,1,23,28,17
4,2,19,1,30,31,28
1,6,10,1,38,19,21
4,0,16,1,24,27,21
3,3,17,1,21,30,16
3,5,16,1,23,22,19
3,1,15,1,34,26,26
3,5,21,1,41,15,24
4,11,21,1,27,27,28
3,3,20,1,22,29,18
4,24,17,1,26,31,22
3,7,17,1,25,28,16
3,2,15,1,19,21,17
4,1,21,1,16,23,14
3,0,17,1,21,22,12
4,4,24,1,22,30,11
3,2,15,1,25,22,20
4,2,18,1,22,27,11
3,1,21,1,26,24,12
3,1,24,1,17,23,16
3,2,19,1,21,25,16
4,4,25,1,20,29,14
4,15,26,1,24,27,13
3,2,19,1,27,22,19
1,7,11,1,23,23,17
3,5,24,1,28,31,10
4,6,14,1,20,16,15
3,10,25,1,22,26,20
4,14,19,1,23,32,20
3,8,22,1,28,27,20
4,3,23,1,21,21,15
2,0,20,1,22,26,19
3,1,18,1,26,23,14
3,3,14,1,20,20,20
4,2,25,1,14,24,11
4,2,25,1,30,28,26
5,3,25,1,18,25,16
3,5,16,1,18,12,21
3,16,20,1,22,23,25
5,6,28,1,19,30,18
4,0,22,1,23,24,17
3,0,22,1,19,24,9
3,3,17,1,10,21,17
3,1,18,1,15,22,12
3,1,21,1,24,24,10
4,1,21,1,26,27,18
3,0,20,1,15,22,12
3,3,21,1,18,21,15
2,3,11,1,31,23,20
5,3,23,1,29,31,11
3,1,23,1,24,30,12
3,0,19,1,23,20,20
4,0,23,1,27,32,22
3,2,22,1,20,22,11
2,1,12,1,26,22,16
4,2,15,1,24,22,18
1,1,11,1,23,20,15
3,0,20,1,15,25,11
3,0,14,1,34,18,21
4,0,24,1,33,35,18
4,5,23,1,15,23,12
2,1,10,1,34,18,19
3,2,19,1,21,21,17
3,7,25,1,33,28,37
4,2,26,1,22,29,9
4,6,16,1,23,24,16
5,5,25,1,30,31,15
4,4,17,1,19,29,13
4,8,21,1,21,21,13
5,4,20,1,9,24,14
4,2,24,1,18,26,13
3,0,16,1,22,18,16
3,1,21,1,13,26,17
4,5,22,1,31,28,30
4,3,23,1,22,26,18
4,6,23,1,27,27,21
4,4,24,1,31,26,24
4,5,26,1,20,26,14
3,1,22,1,33,18,23
4,1,26,1,16,24,10
3,3,24,1,19,25,18
3,0,20,1,15,23,11
5,1,25,1,21,29,11
5,2,24,1,34,33,26
3,1,21,1,33,32,25
4,1,22,1,26,31,15
2,2,11,1,13,23,10
3,2,19,1,21,27,17
3,10,27,1,29,43,28
5,1,20,1,11,21,18
2,3,15,1,22,20,21
4,4,20,1,29,26,27
4,2,25,1,28,31,22
4,2,24,1,23,30,23
2,1,17,1,16,24,18
4,6,19,1,29,37,27
3,3,17,1,23,28,19
